;timestamp;dnd_value;latitude;longitude
0;1651242781158;0;42.389545;-72.52158
1;1651242782158;0;42.389545;-72.52158
2;1651242783157;0;42.389540499999995;-72.52157199999999
3;1651242784157;0;42.389540499999995;-72.52157199999999
4;1651242785159;0;42.389540499999995;-72.52157199999999
5;1651242786157;0;42.389536;-72.521564
6;1651242787157;0;42.389536;-72.521564
7;1651242788158;0;42.389536;-72.52156049999999
8;1651242789158;0;42.389536;-72.52156049999999
9;1651242790157;0;42.389536;-72.52156049999999
10;1651242791158;0;42.389536;-72.52156049999999
11;1651242792157;0;42.389536;-72.52156049999999
12;1651242793157;0;42.389536;-72.5215575
13;1651242794158;0;42.389536;-72.5215575
14;1651242795158;0;42.389536;-72.5215575
15;1651242796158;0;42.389536;-72.5215575
16;1651242797158;0;42.389534;-72.5215565
17;1651242798157;0;42.3895328;-72.5215546
18;1651242799157;0;42.389533166666666;-72.52155433333333
19;1651242800158;0;42.38953425;-72.521553625
20;1651242801158;0;42.38953466666666;-72.52155322222222
21;1651242802158;0;42.3895351;-72.5215528
22;1651242803158;0;42.38953636363637;-72.52155200000001
23;1651242804158;0;42.389537000000004;-72.52155208333335
24;1651242805157;0;42.389537538461546;-72.52155215384617
25;1651242806157;0;42.38953807142858;-72.52155228571431
26;1651242807157;0;42.38953992857143;-72.52155221428573
27;1651242808158;0;42.38954185714285;-72.52155271428572
28;1651242809158;0;42.3895438;-72.52155366666668
29;1651242810157;0;42.38954699999999;-72.5215554
30;1651242811157;0;42.38954893333333;-72.52155660000001
31;1651242812158;0;42.3895525625;-72.52155887500001
32;1651242813157;0;42.389555533333336;-72.52156086666668
33;1651242814157;0;42.389560375;-72.5215635
34;1651242815157;0;42.389565647058824;-72.52156629411765
35;1651242816157;0;42.3895711111111;-72.52156916666667
36;1651242817157;0;42.389578444444446;-72.52157305555555
37;1651242818157;0;42.38958482352941;-72.52157629411765
38;1651242819159;0;42.389593705882355;-72.52158011764705
39;1651242820158;0;42.3896003125;-72.52158287500001
40;1651242821158;0;42.38960717647059;-72.52158505882353
41;1651242822158;0;42.3896140625;-72.521587375
42;1651242823157;0;42.3896191875;-72.52158862499999
43;1651242824157;0;42.38962673333334;-72.52158986666667
44;1651242825157;0;42.389634428571426;-72.52159035714286
45;1651242826158;0;42.38964535714286;-72.52158814285713
46;1651242827158;0;42.389656214285715;-72.52158349999999
47;1651242828157;0;42.389663199999994;-72.521577
48;1651242829157;0;42.389671466666655;-72.52156693333333
49;1651242830157;0;42.389675874999995;-72.5215565625
50;1651242831157;0;42.389680933333324;-72.52154626666668
51;1651242832157;0;42.38968326666666;-72.52153806666666
52;1651242833157;0;42.38968525;-72.5215240625
53;1651242834157;0;42.38968619999999;-72.52151993333334
54;1651242835157;0;42.389687399999985;-72.52151006666666
55;1651242836157;0;42.38968866666666;-72.52148993333334
56;1651242837157;0;42.389688714285704;-72.52147435714286
57;1651242838158;0;42.389686999999995;-72.52145307142857
58;1651242839158;0;42.389682714285705;-72.5214305
59;1651242840158;0;42.38968175;-72.52141941666666
60;1651242841157;0;42.38967078571428;-72.52139592857144
61;1651242842158;0;42.38966133333333;-72.52137953333335
62;1651242843158;0;42.38964746666667;-72.52135946666667
63;1651242844158;0;42.38964746666667;-72.52135946666667
64;1651242845158;0;42.38963325;-72.5213470625
65;1651242846157;0;42.38961412500001;-72.5213313125
66;1651242847158;0;42.38959929411765;-72.52132223529411
67;1651242848157;0;42.38957941176471;-72.52131047058822
68;1651242849157;0;42.389560470588236;-72.52130217647058
69;1651242850158;0;42.38955655555556;-72.52130138888887
70;1651242851157;0;42.38953138888889;-72.52129472222221
71;1651242852158;0;42.38951599999999;-72.5212926111111
72;1651242853157;0;42.389507625;-72.52129131249998
73;1651242854157;0;42.38950177777778;-72.5212921111111
74;1651242855157;0;42.38948589473685;-72.52129442105263
75;1651242856158;0;42.38947357894737;-72.52129657894737
76;1651242857157;0;42.389461;-72.52129873684211
77;1651242858158;0;42.38945161111112;-72.52130027777778
78;1651242859158;0;42.38943661111111;-72.52130222222223
79;1651242860158;0;42.38942899999999;-72.52130316666667
80;1651242861158;0;42.389413687499996;-72.521305875
81;1651242862157;0;42.3894006;-72.52130766666666
82;1651242863157;0;42.3893956875;-72.5213075625
83;1651242864158;0;42.38938233333333;-72.52130906666666
84;1651242865158;0;42.3893568;-72.52131133333333
85;1651242866157;0;42.38934193333334;-72.52131386666666
86;1651242867158;0;42.38932933333334;-72.52131793333335
87;1651242868158;0;42.38932400000001;-72.52132066666668
88;1651242869158;0;42.389316733333345;-72.52132773333332
89;1651242870158;0;42.3893135625;-72.521334375
90;1651242871158;0;42.3893116875;-72.521339125
91;1651242872158;0;42.3893104375;-72.52134425
92;1651242873157;0;42.389308647058826;-72.52135376470588
93;1651242874157;0;42.38930638888888;-72.52136538888888
94;1651242875158;0;42.389305666666665;-72.52137420000001
95;1651242876158;0;42.38930166666666;-72.52139079999999
96;1651242877157;0;42.389298000000004;-72.521403
97;1651242878158;0;42.389291866666674;-72.52141553333333
98;1651242879157;0;42.38928299999999;-72.52143153333333
99;1651242880157;0;42.38927293333334;-72.52144713333334
100;1651242881158;0;42.3892648125;-72.5214574375
101;1651242882158;0;42.38925705882353;-72.5214674117647
102;1651242883158;0;42.38924682352941;-72.52148076470588
103;1651242884157;0;42.38924093333334;-72.52148653333333
104;1651242885157;0;42.38923729411765;-72.5214924117647
105;1651242886158;0;42.38922876470588;-72.52150364705882
106;1651242887157;0;42.389224999999996;-72.52150952941177
